kind,symbol,from_date,to_date,n_bars,fetched_at,status,note
option,O:AAPL250703C00212500,2025-07-02,2025-07-03,601,2026-04-25T20:45:20.611271+00:00,ok,
option,O:AAPL251024C00265000,2025-10-21,2025-10-24,1543,2026-04-25T20:45:20.710971+00:00,ok,
option,O:AMD250801C00175000,2025-07-28,2025-08-01,1829,2026-04-25T20:45:21.431944+00:00,ok,
underlying,AAPL,2024-11-07,2026-04-28,269518,2026-04-25T20:46:14.002711+00:00,ok,
underlying,AMD,2024-11-07,2026-04-28,298265,2026-04-25T20:47:03.775948+00:00,ok,
underlying,AMZN,2024-11-07,2026-04-28,279807,2026-04-25T20:48:20.755216+00:00,ok,
underlying,APP,2024-11-07,2026-04-28,192319,2026-04-25T20:49:03.814810+00:00,ok,
underlying,ARM,2024-11-07,2026-04-28,188056,2026-04-25T20:50:22.247429+00:00,ok,
underlying,AVGO,2024-11-07,2026-04-28,258287,2026-04-25T20:51:07.492656+00:00,ok,
underlying,BMNR,2024-11-07,2026-04-28,185158,2026-04-25T20:52:21.570013+00:00,ok,
underlying,COIN,2024-11-07,2026-04-28,256245,2026-04-25T20:53:07.375889+00:00,ok,
underlying,CRWV,2024-11-07,2026-04-28,203736,2026-04-25T20:54:21.676085+00:00,ok,
underlying,GS,2024-11-07,2026-04-28,150827,2026-04-25T20:55:05.723069+00:00,ok,
underlying,HOOD,2024-11-07,2026-04-28,286843,2026-04-25T20:56:22.812191+00:00,ok,
underlying,META,2024-11-07,2026-04-28,238495,2026-04-25T20:57:03.766989+00:00,ok,
underlying,MMETA,2024-11-07,2026-04-28,0,2026-04-25T20:57:03.836904+00:00,empty,
underlying,MSFT,2024-11-07,2026-04-28,244739,2026-04-25T20:58:18.048392+00:00,ok,
underlying,MSTR,2024-11-07,2026-04-28,284986,2026-04-25T20:59:35.282153+00:00,ok,
underlying,MU,2024-11-07,2026-04-28,271019,2026-04-25T21:00:14.535344+00:00,ok,
underlying,NFLX,2024-11-07,2026-04-28,217192,2026-04-25T21:01:23.775022+00:00,ok,
underlying,NVDA,2024-11-07,2026-04-28,346402,2026-04-25T21:03:06.579132+00:00,ok,
underlying,ORCL,2024-11-07,2026-04-28,232184,2026-04-25T21:04:20.899017+00:00,ok,
underlying,PLTR,2024-11-07,2026-04-28,321362,2026-04-25T21:05:05.642291+00:00,ok,
underlying,QQQ,2024-11-07,2026-04-28,324265,2026-04-25T21:07:21.168772+00:00,ok,
underlying,SNDK,2024-11-07,2026-04-28,163987,2026-04-25T21:07:33.913936+00:00,ok,
underlying,SNOW,2024-11-07,2026-04-28,171597,2026-04-25T21:08:09.493311+00:00,ok,
underlying,SOX,2024-11-07,2026-04-28,0,2026-04-25T21:08:09.566938+00:00,empty,
underlying,SPY,2024-11-07,2026-04-28,311610,2026-04-25T21:10:23.683071+00:00,ok,
underlying,TSLA,2024-11-07,2026-04-28,341708,2026-04-25T21:11:10.384486+00:00,ok,
